"Hora local en Pudahuel (aeropuerto)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss";
"31.12.2017 02:00";"17.9";"718.2";"759.1";"-0.7";"60";"";"";"";"";"60%.";"Nubes en general en formación o desarrollándose. ";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"20–30%.";"2500 o más, o sin nuves.";"Altocúmulos translucidus en bandas, o una o más capas de altocúmulos translucidus u opacus, que progresivamente invaden el cielo; estos altocúmulos generalmente se hacen más densos en conjunto.";"Cirrocúmulos solos, o cirrocúmulos acompañados de cirrus o de cirroestratos, o ambos, pero predominando los cirrocúmulos.";"10.0";"10.1";"Sin precipitación";"6";"";"";"";"";
"30.12.2017 23:00";"20.9";"718.9";"759.5";"";"41";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.2";"";"";"";"";"";"";
"30.12.2017 20:00";"24.7";"718.3";"758.2";"0.4";"28";"Viento procedente del sursuroeste";"7";"";"";"40%.";"Nubes en general en formación o desarrollándose. ";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"31.7";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrocúmulos solos, o cirrocúmulos acompañados de cirrus o de cirroestratos, o ambos, pero predominando los cirrocúmulos.";"10.0";"5.0";"Sin precipitación";"6";"";"";"";"";
"30.12.2017 17:00";"29.1";"717.9";"757.3";"";"26";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"30.12.2017 14:00";"30.9";"718.9";"758.2";"-1.4";"22";"Viento procedente del sur-oeste";"8";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"6.5";"Sin precipitación";"6";"";"";"";"";
"30.12.2017 11:00";"28.0";"720.3";"760.0";"";"30";"";"";"";"";"";" ";"";"";"";"";"";"";"2500 o más, o sin nuves.";"";"";"10.0";"8.9";"";"";"";"";"";"";
"30.12.2017 08:00";"20.6";"721.0";"761.8";"0.8";"47";"";"";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"15.1";"";"";"";"";"";"";"10.0";"8.9";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"30.12.2017 05:00";"15.4";"720.2";"761.6";"";"63";"";"";"";"";"";" ";"";"";"";"";"";"";"2500 o más, o sin nuves.";"";"";"10.0";"8.4";"";"";"";"";"";"";
"30.12.2017 02:00";"17.8";"720.0";"761.2";"0.3";"53";"Viento procedente del sur";"2";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"8.1";"Sin precipitación";"6";"";"";"";"";
"29.12.2017 23:00";"20.8";"719.7";"760.3";"";"43";"";"";"";"";"";" ";"";"";"";"";"";"";"2500 o más, o sin nuves.";"";"";"10.0";"7.6";"";"";"";"";"";"";
"29.12.2017 20:00";"26.4";"718.0";"757.7";"0.2";"26";"Viento procedente del sursuroeste";"7";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"33.0";"";"";"";"";"";"10.0";"5.1";"Sin precipitación";"6";"";"";"";"";
"29.12.2017 17:00";"30.6";"717.8";"757.0";"";"29";"";"";"";"";"";" ";"";"";"";"";"";"";"2500 o más, o sin nuves.";"";"";"10.0";"10.7";"";"";"";"";"";"";
"29.12.2017 14:00";"31.1";"718.5";"757.7";"-1.5";"26";"Viento procedente del sur-oeste";"6";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"9.2";"Sin precipitación";"6";"";"";"";"";
"29.12.2017 11:00";"27.9";"720.0";"759.7";"";"35";"";"";"";"";"";" ";"";"";"";"";"";"";"2500 o más, o sin nuves.";"";"";"10.0";"11.0";"";"";"";"";"";"";
"29.12.2017 08:00";"21.7";"719.8";"760.3";"0.9";"53";"";"";"";"";"sin nubes.";"Visibilidad reducida por humo, por ejemplo fuego de maleza o incendio de bosques, humo industrial o cenizas volcánicas. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"13.6";"";"";"";"";"";"";"8.0";"11.7";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"29.12.2017 05:00";"17.5";"718.9";"760.0";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"2500 o más, o sin nuves.";"";"";"10.0";"11.9";"";"";"";"";"";"";
"29.12.2017 02:00";"18.6";"719.2";"760.2";"-0.6";"64";"Viento procedente del sur";"2";"";"";"sin nubes.";"Bruma. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"8.0";"11.7";"Sin precipitación";"6";"";"";"";"";
"28.12.2017 23:00";"21.9";"719.8";"760.3";"";"51";"";"";"";"";"";" ";"";"";"";"";"";"";"2500 o más, o sin nuves.";"";"";"10.0";"11.3";"";"";"";"";"";"";
"28.12.2017 20:00";"26.5";"718.7";"758.5";"0.6";"32";"Viento procedente del sursuroeste";"8";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"33.4";"";"";"";"";"";"10.0";"8.6";"Sin precipitación";"6";"";"";"";"";
"28.12.2017 17:00";"31.8";"718.1";"757.2";"";"19";"";"";"";"";"";" ";"";"";"";"";"";"";"2500 o más, o sin nuves.";"";"";"10.0";"5.1";"";"";"";"";"";"";
"28.12.2017 14:00";"31.5";"719.2";"758.4";"-0.9";"20";"Viento procedente del sursuroeste";"8";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"6.2";"Sin precipitación";"6";"";"";"";"";
"28.12.2017 11:00";"28.7";"720.1";"759.7";"";"28";"";"";"";"";"";" ";"";"";"";"";"";"";"2500 o más, o sin nuves.";"";"";"10.0";"8.4";"";"";"";"";"";"";
"28.12.2017 08:00";"21.8";"720.3";"760.9";"";"47";"";"";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"14.4";"";"";"";"";"";"";"10.0";"10.0";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"28.12.2017 05:00";"16.0";"720.1";"761.4";"";"63";"";"";"";"";"";" ";"";"";"";"";"";"";"2500 o más, o sin nuves.";"";"";"10.0";"8.8";"";"";"";"";"";"";
"28.12.2017 02:00";"19.0";"720.1";"761.0";"";"56";"Viento procedente del sursureste";"3";"";"";"sin nubes.";"Nubes en general disipándose o haciéndose menos desarrolladas. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"10.1";"Sin precipitación";"6";"";"";"";"";
"27.12.2017 20:00";"25.2";"719.7";"759.7";"";"32";"Viento procedente del sursuroeste";"7";"";"";"sin nubes.";"Visibilidad reducida por humo, por ejemplo fuego de maleza o incendio de bosques, humo industrial o cenizas volcánicas. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"31.7";"";"";"";"";"";"8.0";"7.3";"Sin precipitación";"6";"";"";"";"";
"27.12.2017 14:00";"30.3";"720.1";"759.4";"";"26";"Viento procedente del sursuroeste";"8";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"8.8";"Sin precipitación";"6";"";"";"";"";
"27.12.2017 08:00";"20.8";"721.3";"762.0";"";"54";"";"";"";"";"10%  o menos, pero no 0";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"14.6";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"10.0";"11.2";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"27.12.2017 02:00";"18.1";"720.4";"761.5";"";"61";"Viento procedente del sursureste";"3";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"10.4";"Sin precipitación";"6";"";"";"";"";
"26.12.2017 20:00";"24.9";"719.9";"760.0";"";"37";"Viento procedente del sursuroeste";"7";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"30.8";"";"";"";"";"";"10.0";"9.3";"Sin precipitación";"6";"";"";"";"";
"26.12.2017 14:00";"29.7";"719.8";"759.1";"";"30";"Viento procedente del sursuroeste";"7";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"10.3";"Sin precipitación";"6";"";"";"";"";
"19.12.2017 11:00";"27.5";"718.4";"758.1";"";"31";"Viento procedente del sursureste";"2";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.0";"";"";"";"";"";"";
"19.12.2017 08:00";"19.1";"719.2";"760.1";"0.9";"49";"";"";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"12.3";"";"";"";"";"";"";"10.0";"8.1";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.12.2017 05:00";"13.3";"718.3";"760.0";"";"69";"";"";"";"";"sin nubes.";"Visibilidad reducida por humo, por ejemplo fuego de maleza o incendio de bosques, humo industrial o cenizas volcánicas. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"7.0";"7.7";"";"";"";"";"";"";
"19.12.2017 02:00";"15.9";"718.6";"759.9";"-0.4";"60";"Viento procedente del sursureste";"2";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"8.0";"Sin precipitación";"6";"";"";"";"";
"18.12.2017 23:00";"18.6";"719.0";"760.0";"";"50";"Viento procedente del sursureste";"3";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.8";"";"";"";"";"";"";
"18.12.2017 20:00";"22.7";"718.3";"758.7";"-0.1";"41";"Viento procedente del sursuroeste";"6";"";"";"50%.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"29.7";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"10.0";"8.8";"Sin precipitación";"6";"";"";"";"";
"18.12.2017 17:00";"29.3";"718.4";"757.7";"";"24";"Viento procedente del sursureste";"6";"";"";"100%.";" ";"";"";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"40%.";"";"Altocúmulos translucidus a un solo nivel.";"Cirroestratos que cubren todo el cielo.";"10.0";"6.6";"";"";"";"";"";"";
"18.12.2017 14:00";"29.5";"719.0";"758.3";"-0.4";"24";"Viento procedente del sursuroeste";"8";"";"";"90  o más, pero no 100%";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirroestratos que no invaden progresivamente el cielo y que no lo cubren en su totalidad.";"10.0";"6.6";"Sin precipitación";"6";"";"";"";"";
"18.12.2017 11:00";"26.8";"719.4";"759.1";"";"31";"Viento procedente del sursuroeste";"7";"";"";"90  o más, pero no 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.3";"";"";"";"";"";"";
"18.12.2017 08:00";"20.6";"718.0";"758.5";"1.2";"44";"";"";"";"";"40%.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"13.7";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"10.0";"8.0";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"18.12.2017 05:00";"14.3";"716.8";"758.2";"";"64";"";"";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.5";"";"";"";"";"";"";
"18.12.2017 02:00";"17.6";"717.4";"758.4";"-1.1";"52";"Viento procedente del sursureste";"3";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"7.5";"Sin precipitación";"6";"";"";"";"";
"17.12.2017 23:00";"21.4";"718.5";"759.0";"";"41";"Viento procedente del sursureste";"3";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.7";"";"";"";"";"";"";
"17.12.2017 20:00";"26.2";"718.0";"757.9";"0.0";"23";"Viento procedente del sursuroeste";"7";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"32.8";"";"";"";"";"";"10.0";"3.6";"Sin precipitación";"6";"";"";"";"";
"17.12.2017 17:00";"30.1";"718.0";"757.3";"";"29";"Viento procedente del sur-oeste";"7";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.3";"";"";"";"";"";"";
"17.12.2017 14:00";"31.6";"718.1";"757.2";"-0.4";"25";"Viento procedente del sur";"7";"";"";"10%  o menos, pero no 0";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"10.0";"9.1";"Sin precipitación";"6";"";"";"";"";
"17.12.2017 11:00";"25.5";"718.5";"758.5";"";"39";"";"";"";"";"10%  o menos, pero no 0";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"17.12.2017 08:00";"18.5";"719.5";"760.5";"1.0";"59";"";"";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"11.7";"";"";"";"";"";"";"10.0";"10.2";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"17.12.2017 05:00";"11.7";"718.5";"760.4";"";"76";"Viento procedente del noreste";"3";"";"";"sin nubes.";"Visibilidad reducida por humo, por ejemplo fuego de maleza o incendio de bosques, humo industrial o cenizas volcánicas. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"8.0";"7.6";"";"";"";"";"";"";
"17.12.2017 02:00";"14.9";"718.9";"760.4";"-1.4";"68";"Viento procedente del oestesuroeste";"2";"";"";"20–30%.";"Nubes en general disipándose o haciéndose menos desarrolladas. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"10.0";"8.9";"Sin precipitación";"6";"";"";"";"";
"16.12.2017 23:00";"17.5";"720.3";"761.5";"";"58";"Viento procedente del sursureste";"4";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"16.12.2017 20:00";"21.1";"719.8";"760.3";"1.1";"46";"Viento procedente del sursuroeste";"7";"";"";"60%.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"29.3";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus (frecuentemente en bandas) y cirroestratos, o cirroestratos solos, que invaden progresivamente el cielo; generalmente se hacen más densos en conjunto, pero su velo continuo no llega a 45 grados sobre el horizonte.";"10.0";"8.9";"Sin precipitación";"6";"";"";"";"";
"16.12.2017 17:00";"24.3";"718.7";"758.8";"";"33";"Viento procedente del sursuroeste";"10";"";"";"90  o más, pero no 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.9";"";"";"";"";"";"";
"16.12.2017 14:00";"28.7";"718.3";"757.8";"-0.9";"30";"Viento procedente del sur-oeste";"8";"";"";"70 – 80%.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus uncinus o cirrus fibratus, o ambos, que invaden progresivamente el cielo; generalmente se hacen más densos en conjunto.";"10.0";"9.2";"Sin precipitación";"6";"";"";"";"";
"16.12.2017 11:00";"23.2";"719.2";"759.4";"";"41";"Viento procedente del sursureste";"5";"";"";"70 – 80%.";" ";"";"";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"20–30%.";"";"Altocúmulos translucidus en bandas, o una o más capas de altocúmulos translucidus u opacus, que progresivamente invaden el cielo; estos altocúmulos generalmente se hacen más densos en conjunto.";"Cirrus uncinus o cirrus fibratus, o ambos, que invaden progresivamente el cielo; generalmente se hacen más densos en conjunto.";"10.0";"9.3";"";"";"";"";"";"";
